,Selfies
2845,C C Branch1 C C O C@H1 C C@H1 C@@H1 C C C =C C =Branch1 C =O C =C C Ring1 #Branch1 Branch1 C C C Ring1 N Branch1 C F C Branch1 C O C C Ring2 Ring1 C Branch1 C C C Ring2 Ring1 =Branch1 Branch2 Ring1 Branch2 C =Branch1 C =O C O C =Branch1 C =O C =C C =C C =C C =C Ring1 =Branch1 O Ring1 =Branch2 O Ring2 Ring2 =Branch2
6479,C O C O C =Branch1 C =O C@H1 N C =Branch1 C =O C@@H1 Branch2 Ring1 =Branch2 N C =Branch1 C =O C@H1 Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 N C Ring1 N Branch1 C C C C@H1 Ring2 Ring1 Ring1 S C Ring2 Ring1 =Branch1 Branch1 C C C
4506,C O C Branch2 Ring1 C N C =Branch1 C =O C S C C Branch1 C N C =Branch1 C =O O C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 O C S C =N N =N N Ring1 Branch1 C C S C Ring1 P Ring2 Ring1 #C
3297,C N C@H1 C C =C C =C C =C Ring1 =Branch1 N Branch1 C C C =C C =C C =C Ring1 =Branch1 Ring1 S
6821,O C =C C =C C =C Ring1 =Branch1 O C@@H1 C@@H1 Branch1 C O C C C Branch1 C O C@@H1 Branch1 Ring2 C Ring1 =N N Branch1 Branch2 C C C C C Ring1 Ring2 C C C@ Ring2 Ring1 Branch1 Ring2 Ring1 C Ring1 =N
122,C C =C C =C Branch2 Ring2 Branch1 C C =C N =C Branch2 Ring1 #Branch1 N C C S C C =C C =C Branch1 =Branch2 C Branch1 C C Branch1 C C N O Ring1 =Branch2 NH1 C Ring2 Ring1 Ring2 =O C =N Ring2 Ring1 N
1443,C C C Branch1 C Br Branch1 =Branch1 C Branch1 C N =O C Branch1 C C C
5675,C C O C Branch2 Ring2 #Branch2 O C C Branch1 Ring1 C O O C Branch2 Ring1 Branch1 O C C Branch1 Ring1 C O O C Branch1 C O C Branch1 C O C Ring1 #Branch2 O C Branch1 C O C Ring2 Ring1 Branch1 O C Branch1 C O C Branch1 C O C Ring2 Ring1 #C N C C =C Branch1 Ring1 C O C Branch1 C O C Branch1 C O C Ring1 #Branch2 O
2600,C N C C C =C C Branch1 C Cl =C Branch1 C O C =C Ring1 Branch2 C@@H1 Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C Ring2 Ring1 Ring1
5210,C C N Branch1 Ring1 C C C C C C Branch1 C C N C =C C =C C Branch1 C Cl =C C Ring1 #Branch1 =N C =C C =C Branch1 Ring1 O C C =C Ring1 P Ring1 Branch2
739,C C C =C C =C C Branch1 P C =Branch1 C =O C C C C Branch1 Ring1 O C C C Ring1 Branch2 =C C =C Ring1 S N =C Ring2 Ring1 Ring2 C
1,C O C Branch2 Ring1 =Branch2 N C =Branch1 C =O C Branch1 =Branch1 C =Branch1 C =O O C =C C =C Branch1 C O C =C Ring1 #Branch1 C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 O C S C =N N =N N Ring1 Branch1 C C O C Ring1 P Ring2 Ring2 C
7279,C N C =Branch1 C =O C C@ Branch1 C C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C Ring1 =N =O
804,C =C C =C C =C C =C Ring1 =Branch1
6200,C C C C C =Branch1 C =O O C@@ Branch1 #Branch1 C =Branch1 C =O C O C C C@@H1 C@H1 C C C =C C =Branch1 C =O C C C@@ Ring1 #Branch1 Branch1 C C C@@H1 Ring1 N C@@H1 Branch1 C O C C@ Ring1 P Ring2 Ring1 Branch2 C
7214,C C C@H1 Branch1 C C C@@H1 Branch1 Ring1 C C C =Branch1 C =O N C Branch1 C N =O
26,O C C@H1 O C@H1 Branch2 Ring1 Branch1 O C@ Branch1 Ring1 C O O C@H1 Branch1 Ring1 C O C@@H1 Branch1 C O C@@H1 Ring1 #Branch2 O C@H1 Branch1 C O C@@H1 Branch1 C O C@@H1 Ring2 Ring1 Ring2 O
4272,C C C =C C =Branch1 C =O C =C Ring1 #Branch1 C C C C Ring1 O C Branch1 C O C C Branch1 C C C Ring1 Branch2 C C C Ring1 =Branch1 Branch1 C O C =Branch1 C =O C O C =Branch1 C =O C C C =Branch1 C =O O
3053,C C C C@H1 C C@@H1 Branch2 Ring1 P C =Branch1 C =O N C@@H1 Branch1 =Branch1 C@H1 Branch1 C C O C@@H1 O C@@H1 Branch1 Ring1 S C C@@H1 Branch1 C O C@@H1 Branch1 C O C@@H1 Ring1 #Branch2 O N Branch1 C C C Ring2 Ring1 Branch2
554,C C =C Branch1 =Branch1 N Branch1 C C C C =Branch1 C =O N Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 N Ring1 #C C
6427,C N C C C@H1 Branch1 C O C@H1 C C@@H1 Branch2 Ring1 #C S C =C Branch1 =Branch1 C =Branch1 C =O O N C =Branch1 C =O C@@H1 Branch1 =Branch1 C@@H1 Branch1 C C O C@H1 Ring1 Branch2 C@@H1 Ring1 =C C C N Ring2 Ring1 Branch1
5109,C C Branch1 C C Branch1 C C N C C Branch1 C O C =C C Branch1 C Cl =C Branch1 C N C Branch1 C Cl =C Ring1 =Branch2
6058,C C =Branch1 C =O C@@H1 C C C@H1 C@@H1 C C C@H1 C C@@H1 Branch1 C O C C C@ Ring1 #Branch1 Branch1 C C C@@H1 Ring1 N C C C@ Ring1 S Ring2 Ring1 Ring1 C
5912,N C =N C Branch2 Ring2 C C C =Branch1 C =O N C =C C =C Branch1 P C C N C C Branch1 C O C =C C =C C =C Ring1 =Branch1 C =C Ring2 Ring1 C =C S Ring2 Ring1 O
7474,C C@@H1 C@@H1 Branch2 Ring1 P N C =Branch1 C =O /C =Branch1 #C =N /O C Branch1 C C Branch1 C C C =Branch1 C =O O C =C S C Branch1 C N =N Ring1 =Branch1 C =Branch1 C =O N Ring2 Ring1 #Branch1 S =Branch1 C =O =Branch1 C =O O
2991,C C C C =Branch1 C =O O C Branch1 #Branch1 C =Branch1 C =O C O C C C@H1 C@@H1 C C C =C C =Branch1 C =O C C C Ring1 #Branch1 Branch1 C C C@H1 Ring1 N C@@H1 Branch1 C O C C Ring1 P Ring2 Ring1 Branch2 C
4898,C O C@H1 C =C O C@@ Branch1 C C O C =C Branch1 C C C Branch1 C O =C C Branch1 C O =C Branch2 Ring1 #C C =C Branch1 #C N =C C =C Branch1 C C C =C N Ring1 #Branch1 Ring1 #Branch2 C Ring1 #C =C Ring2 Ring1 Branch1 C Ring2 Ring1 =Branch2 =O N C =Branch1 C =O C Branch1 C C =C C =C C@H1 Branch1 C C C@H1 Branch1 C O C@@H1 Branch1 C C C@@H1 Branch1 C O C@@H1 Branch1 C C C@H1 Branch1 #Branch1 O C Branch1 C C =O C@@H1 Ring2 Branch1 =Branch1 C
5696,C C C C C C Branch1 C O C C C C Branch1 C O C C C C =C Branch1 =C C =C C =C Ring1 =Branch1 O C C =Branch1 C =O O C C Ring1 #C Ring2 Ring1 Ring1
6483,C O C@@H1 /C =C \O C@ Branch1 C C O C =C Branch1 C C C Branch1 C O =C C Branch1 C O =C Branch2 Ring1 #C C =C Branch1 #C N =C C =C Branch1 C C C =C N Ring1 #Branch1 Ring1 #Branch2 C Ring1 #C =C Ring2 Ring1 Branch1 C Ring2 Ring1 =Branch2 =O N C =Branch1 C =O /C Branch1 C C =C /C =C /C@@H1 Branch1 C C C@H1 Branch1 C O C@@H1 Branch1 C C C@@H1 Branch1 C O C@H1 Branch1 C C C@@H1 Branch1 #Branch1 O C Branch1 C C =O C@@H1 Ring2 Branch1 =Branch1 C
5590,C =C C C C Branch1 C O C /C Ring1 #Branch1 =C \C =C /C C C C Branch1 C C C Ring1 #Branch1 C C C Ring1 =Branch1 C Branch1 C C /C =C /C Branch1 C C C Branch1 C C C
5681,C C C Branch1 Ring1 C C Branch2 Ring2 Ring1 C C =Branch1 C =O N C =C C =C C Branch2 Ring1 C /C =C /C =N C Branch1 #Branch1 C C C C Ring1 Ring2 =C S Ring1 =Branch2 =C Ring1 P C =Branch1 C =O O
4653,O =C C N+1 Branch1 C O-1 =C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C Branch1 C Cl =C C =C Ring1 #Branch1 N Ring2 Ring1 Ring1
4315,C C C C C C C Ring1 =Branch1 Branch1 Branch2 C =C C =C S Ring1 Branch1 N C C C C C Ring1 =Branch1
6577,C C@@H1 N C C O C@@H1 Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1
1472,C C C Branch1 Ring1 C C C =Branch1 C =O N C =C Branch1 C C C Ring1 #Branch2 =O
3203,C N C =Branch1 C =O C C S =Branch1 C =O =Branch1 C =O C@H1 Ring1 =Branch2 C =C C =C Branch1 C Cl C =C Ring1 #Branch1
1768,C N Branch1 C C C C O C Branch1 #Branch2 C C =C C =C C =C Ring1 =Branch1 C C C C C Ring1 =N Branch1 C C C Ring1 =Branch1 Branch1 C C C
3071,C C N Branch1 Ring1 C C C C =Branch1 C =O O C C =Branch1 C =O C Branch1 C O C C C@H1 C@@H1 C C C =C C =Branch1 C =O C =C C Ring1 #Branch1 Branch1 C C C@H1 Ring1 N C@@H1 Branch1 C O C C Ring1 P Ring2 Ring1 Branch1 C
